A,S,G,T,B,I_g,S_local,S_inf
1,1,3,1,True,A,1,0
23,23,69,10,True,B,23,0
1,1,3,1,True,A,1,0
7,8,24,4,True,A,8,0
2,2,6,2,True,B,2,0
16,16,48,9,False,B,16,0
3,3,10,3,True,B,3,0
1,1,3,1,True,A,1,0
1,1,3,1,True,A,1,0
3,3,9,2,True,A,3,0
3,3,9,3,True,B,3,0
18,18,54,11,False,B,18,0
18,18,54,10,True,A,18,0
1,1,3,1,True,A,1,0
8,8,25,7,True,B,8,0
4,5,15,3,True,B,5,0
6,6,18,6,True,B,6,0
11,11,33,6,True,A,11,0
5,5,15,5,False,B,5,0
4,4,12,3,True,B,4,0
2,2,6,2,False,A,2,0
3,3,9,3,True,B,3,0
1,1,3,1,True,B,1,0
4,4,12,4,True,B,4,0
3,3,9,3,True,A,3,0
12,12,36,8,True,A,12,0
3,3,9,3,True,B,3,0
4,4,13,4,True,A,4,0
2,2,6,2,True,B,2,0
1,1,3,1,True,A,1,0
1,1,3,1,True,A,1,0
2,2,6,2,True,A,2,0
2,2,6,2,True,A,2,0
1,1,3,1,True,B,1,0
4,4,12,4,False,B,4,0
1,1,3,1,True,B,1,0
4,4,12,3,True,A,4,0
2,2,6,2,True,B,2,0
5,5,15,4,True,A,5,0
6,6,18,4,False,A,6,0
2,2,6,2,True,A,2,0
5,5,15,4,True,A,5,0
17,17,51,10,False,A,17,0
11,11,33,8,True,A,11,0
6,6,18,6,True,B,6,0
43,43,129,28,False,B,43,0
2,2,6,2,False,B,2,0
6,6,18,4,True,A,6,0
1,1,3,1,True,B,1,0
6,6,18,4,True,B,6,0
27,27,81,12,True,B,27,0
14,14,42,6,False,A,14,0
5,5,15,5,True,A,5,0
1,1,3,1,True,A,1,0
17,21,63,6,True,B,21,0
2,2,6,2,True,A,2,0
16,16,48,13,True,B,16,0
2,2,6,2,True,A,2,0
11,13,39,5,False,B,13,0
3,3,9,2,True,A,3,0
2,2,6,2,True,A,2,0
3,3,9,2,True,B,3,0
3,3,9,3,True,A,3,0
1,1,3,1,False,A,1,0
9,9,27,5,False,A,9,0
6,6,18,6,True,B,6,0
4,4,12,3,True,A,4,0
29,29,87,17,False,A,29,0
7,7,21,5,True,A,7,0
4,4,12,3,False,A,4,0
